longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,target
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,0.0,452600.0
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,0.0,358500.0
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,0.0,352100.0
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,0.0,341300.0
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,0.0,342200.0
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,0.0,269700.0
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,0.0,299200.0
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,0.0,241400.0
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,0.0,226700.0
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,0.0,261100.0
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,0.0,281500.0
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,0.0,241800.0
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,0.0,213500.0
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,0.0,191300.0
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,0.0,159200.0
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,0.0,140000.0
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,0.0,152500.0
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,0.0,155500.0
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,0.0,158700.0
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,0.0,162900.0
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,0.0,147500.0
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,0.0,159800.0
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,0.0,113900.0
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,0.0,99700.0
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,0.0,132600.0
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,0.0,107500.0
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,0.0,93800.0
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,0.0,105500.0
