longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,target
-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776,0.0,279200.0
-121.43,38.66,35.0,1814.0,367.0,1076.0,372.0,2.7179,0.0,81100.0
-121.58,39.5,29.0,1947.0,383.0,925.0,337.0,2.1658,0.0,57600.0
-120.24,39.35,8.0,4195.0,725.0,291.0,115.0,3.4792,0.0,180800.0
-122.02,38.37,16.0,2495.0,331.0,1118.0,338.0,6.4894,0.0,198000.0
-122.01,37.18,37.0,3852.0,652.0,1534.0,567.0,5.8596,0.0,318700.0
-117.7,33.5,4.0,2351.0,445.0,834.0,397.0,5.5677,0.0,245400.0
-117.41,33.96,27.0,2341.0,418.0,1272.0,415.0,3.0208,0.0,112700.0
-122.45,37.67,36.0,1664.0,326.0,963.0,322.0,4.7813,0.0,246400.0
-122.73,38.44,35.0,1120.0,297.0,659.0,274.0,2.3824,0.0,145000.0
-121.92,37.48,23.0,4314.0,676.0,1972.0,623.0,5.3813,0.0,264400.0
-122.44,37.78,52.0,1118.0,279.0,514.0,284.0,2.4196,0.0,346200.0
-118.29,33.93,32.0,1815.0,488.0,1715.0,475.0,1.7244,0.0,111200.0
-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,0.0,124700.0
-116.96,33.73,20.0,4735.0,973.0,2306.0,904.0,3.069,0.0,87000.0
-121.31,38.26,22.0,1768.0,396.0,1005.0,420.0,1.8846,0.0,88300.0
-118.11,33.97,33.0,2125.0,500.0,1672.0,476.0,3.6397,0.0,166600.0
-118.28,34.04,19.0,460.0,241.0,890.0,229.0,1.6089,0.0,162500.0
-122.04,37.53,25.0,4458.0,922.0,2998.0,890.0,3.9667,0.0,218500.0
-121.77,36.71,18.0,6601.0,1395.0,3562.0,1299.0,3.512,0.0,174800.0
-117.23,33.38,18.0,3339.0,704.0,1727.0,652.0,2.8393,0.0,173200.0
-122.12,38.01,50.0,1738.0,355.0,837.0,363.0,3.609,0.0,135700.0
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,0.0,366700.0
-118.42,34.04,46.0,1508.0,276.0,639.0,273.0,4.925,0.0,409800.0
-117.71,33.64,14.0,2945.0,356.0,1293.0,335.0,8.111,0.0,308900.0
-118.12,33.94,33.0,2206.0,393.0,973.0,364.0,4.675,0.0,283000.0
-118.36,34.03,43.0,1690.0,379.0,1017.0,359.0,2.1078,0.0,133500.0
-118.34,33.89,36.0,2392.0,444.0,1346.0,445.0,6.0088,0.0,245900.0
-121.43,38.62,36.0,1765.0,438.0,1008.0,382.0,2.0639,0.0,73000.0
-121.94,38.36,2.0,4953.0,735.0,1791.0,562.0,5.0346,0.0,205100.0
-119.99,36.8,45.0,1270.0,242.0,598.0,214.0,3.2813,0.0,105400.0
-117.32,33.8,11.0,3196.0,576.0,1757.0,552.0,4.0982,0.0,173300.0
-117.43,34.1,34.0,1345.0,265.0,834.0,290.0,3.7011,0.0,99500.0
-121.43,37.73,40.0,1718.0,391.0,1312.0,388.0,2.9955,0.0,134700.0
